name,code,males,females,u18,adult,over64,male0,male1,male2,male3,male4,male5,male6,male7,male8,male9,male10,male11,male12,male13,male14,male15,male16,male17,male18,female0,female1,female2,female3,female4,female5,female6,female7,female8,female9,female10,female11,female12,female13,female14,female15,female16,female17,female18
Aberdeenshire,S12000034,128035,129705,54244,159116,44380,7857,7818,7522,7968,7158,6845,7461,8166,9664,10132,9649,9011,8280,7440,5045,3823,2404,1253,539,7516,7241,7079,7204,6235,6893,7838,8240,10115,10545,9773,8969,8181,7445,5528,4307,3239,2144,1213
Angus,S12000041,56574,59666,22595,68685,24960,2946,3162,3271,3598,3252,2952,3038,2970,3836,4311,4320,3819,3963,3836,2724,2149,1429,689,309,2963,2975,3053,3397,2868,2999,3142,3287,4078,4424,4545,4039,4072,4081,3040,2611,1973,1340,779
Argyll and Bute,S12000035,43471,44579,15909,51521,20620,2044,2231,2262,2795,2704,2433,2028,2087,2682,3311,3367,3119,3164,3199,2405,1753,1129,556,202,2059,2077,2153,2347,1974,1929,2019,2142,2993,3434,3464,3241,3371,3423,2622,2153,1598,972,608
Clackmannanshire,S12000005,25155,26125,10423,31838,9019,1464,1446,1479,1588,1465,1470,1469,1477,1957,2085,1994,1636,1628,1500,998,771,447,192,89,1422,1401,1361,1488,1388,1425,1513,1512,1972,2152,2016,1770,1683,1657,1210,916,649,364,226
Dumfries and Galloway,S12000006,72974,77296,27737,87503,35030,3729,3925,3922,4480,3776,3729,3327,3379,4633,5604,5705,5308,5416,5347,4007,3199,2073,1001,414,3575,3757,3562,4243,3758,3787,3719,3703,5052,6056,6004,5606,5485,5533,4505,3581,2781,1624,965
Dundee City,S12000042,71315,76855,27205,95522,25443,4256,3615,3486,4717,7817,6260,4764,3747,4305,4693,4792,4296,3724,3504,2568,2178,1510,762,321,4005,3548,3301,5035,8185,6129,5068,3945,4416,5006,5242,4362,4013,3882,3120,2998,2354,1452,794
East Ayrshire,S12000008,59265,63175,24281,75362,22797,3478,3418,3204,3890,3734,3442,3377,3259,4367,4686,4504,3950,3804,3588,2575,1961,1227,583,218,3358,3188,3267,3501,3710,3636,3599,3561,4621,5210,4724,4193,3962,3879,2939,2435,1763,1006,623
East Dunbartonshire,S12000045,51310,54550,20987,62869,22004,2668,2968,3148,3513,3377,2615,2204,2459,3424,4052,4166,3723,3298,3090,2306,2038,1343,650,268,2463,2795,2915,3110,2923,2152,2400,2858,3927,4480,4531,4047,3640,3436,2855,2489,1787,1162,580
East Lothian,S12000010,48558,52802,21240,61020,19100,3014,3089,2803,3091,2702,2452,2463,2764,3640,3955,3905,3393,2812,2872,2050,1662,1100,577,214,2926,2933,2776,3033,3118,2532,2830,3022,3992,4312,4084,3462,3157,3102,2413,2047,1563,939,561
East Renfrewshire,S12000011,43594,47906,20470,53766,17264,2583,2911,3006,3175,2803,1892,1815,2322,3004,3484,3545,3140,2609,2394,1723,1494,967,506,221,2514,2789,2909,2863,2562,1985,2168,2685,3492,4024,3778,3310,2868,2737,2160,1958,1547,964,593
City of Edinburgh,S12000036,237487,250013,83838,331426,72236,13698,11662,10517,13272,22612,22585,20955,17501,16781,16535,15589,13371,11714,10176,7132,5973,4164,2263,987,13414,10907,9913,13417,24699,23973,21177,16737,16151,16372,15848,13572,12292,11160,8672,8031,6699,4380,2599
Eilean Siar,S12000013,13516,13884,5136,15998,6266,679,751,717,779,655,651,646,717,976,1031,1088,977,1051,978,716,529,326,186,63,586,710,732,767,543,631,705,763,925,1037,1031,975,1011,916,803,667,531,336,215
Falkirk,S12000014,76742,80398,31996,97950,27194,4644,4574,4261,4869,4490,4335,4776,5009,6063,6316,5832,4863,4616,4295,3020,2412,1402,690,275,4505,4420,4124,4307,4361,4611,5230,5183,6226,6474,5871,5076,4910,4456,3582,2984,2126,1241,711
Fife,S12000015,177971,188939,72853,225041,69016,10722,10263,9979,11226,11897,10058,10288,10249,12571,13744,13226,11860,11062,10977,7660,5796,3747,1889,757,10065,9846,9243,11209,12271,10617,11092,10630,13386,14439,13819,12292,11840,11709,8655,7236,5277,3409,1904
Glasgow City,S12000046,288160,308390,109131,404228,83191,17673,14541,13858,17086,27703,28131,25615,19532,20035,20403,19351,16413,13577,11640,8497,6729,4441,2094,841,17091,13927,13361,16815,29997,28764,25174,19037,20675,22183,21111,17427,13879,12561,10783,10245,7871,4730,2759
Highland,S12000017,114024,118926,45955,140454,46541,6280,6520,6622,6961,5990,6379,6471,6186,7389,8921,8874,8293,8054,7507,5284,3923,2646,1233,491,5912,6222,6222,6299,5554,6333,6753,6552,8315,9535,9005,8517,8250,7625,5953,4743,3658,2175,1303
Inverclyde,S12000018,38394,41916,15221,49659,15430,2100,2192,2085,2432,2574,2319,2145,1980,2517,3143,3287,2674,2471,2247,1621,1271,799,371,166,1943,2028,2025,2316,2438,2307,2342,2261,2939,3433,3441,2847,2641,2472,1992,1765,1441,778,507
Midlothian,S12000019,40649,44051,18059,51501,15140,2626,2518,2451,2566,2450,2207,2263,2372,2845,3180,3057,2769,2626,2443,1683,1263,804,370,156,2600,2449,2426,2443,2433,2401,2641,2601,3223,3402,3277,2943,2791,2686,1920,1647,1126,680,362
Moray,S12000020,46607,47743,19115,56754,18481,2589,2650,2703,3140,2796,2846,2663,2534,3361,3653,3389,3122,2914,2770,2134,1622,992,512,217,2429,2525,2508,2831,2418,2718,2586,2682,3408,3653,3460,3203,3088,3031,2329,1986,1497,897,494
North Ayrshire,S12000021,65163,71757,27119,81988,27813,3659,3734,3776,4422,3984,3452,3360,3335,4338,5019,4995,4510,4349,4309,3190,2287,1522,663,259,3555,3611,3662,4213,3846,3794,3745,3933,5033,5657,5361,4988,4776,4686,3731,2979,2153,1257,777
North Lanarkshire,S12000044,163383,174347,72459,211758,53513,10135,10481,9931,10872,10562,10187,10792,10302,12154,13186,12019,10338,9289,8281,6071,4357,2808,1176,442,9836,9787,9607,10044,10549,10923,11422,10752,13101,13871,12862,11223,9992,9159,7434,6192,4220,2270,1103
Orkney Islands,S12000023,10728,10842,4063,12947,4560,585,563,536,676,607,568,535,516,689,878,889,790,770,719,587,391,239,132,58,488,559,560,579,560,574,577,561,748,884,793,768,757,718,627,448,319,195,127
Perth and Kinross,S12000024,72096,75654,28306,87709,31735,3705,3766,4198,4562,4125,3957,4098,3723,4729,5742,5420,5001,4895,4710,3469,2732,1919,956,389,3528,3639,3938,4219,3638,4053,3983,3939,5268,5958,5600,5218,5113,4951,4025,3311,2528,1724,1021
Renfrewshire,S12000038,83665,90235,34267,108560,31073,4879,4692,4658,5275,5617,5343,5193,4659,5730,6751,6714,5679,4968,4624,3426,2642,1675,809,331,4685,4633,4572,4870,5392,5298,5485,5107,6701,7471,7053,6028,5374,5101,4021,3602,2565,1443,834
Scottish Borders,S12000026,55307,58563,21703,66465,25702,2960,3014,3056,3238,2663,2470,2499,2706,3831,4522,4488,4091,4038,4057,2919,2205,1515,751,284,2805,2956,2963,3100,2704,2519,2723,2970,4204,4743,4528,4227,4150,4206,3240,2604,1967,1246,708
Shetland Islands,S12000027,11772,11428,4940,14157,4103,737,698,691,740,658,684,702,723,815,914,885,804,785,710,520,352,209,109,36,641,634,665,689,608,645,655,704,811,871,820,806,712,619,540,407,278,204,119
South Ayrshire,S12000028,53792,59058,20632,66394,25824,2769,2842,2970,3205,3071,2759,2671,2618,3476,4083,4172,3865,3872,3821,2856,2248,1452,731,311,2641,2780,2737,3230,3033,2979,2886,2988,3946,4470,4573,4275,4115,4160,3266,2768,2083,1334,794
South Lanarkshire,S12000029,151491,163359,62521,195940,56389,8831,8742,8572,9475,9250,8600,9167,9082,11429,12095,12055,10632,9335,8458,6128,4740,2997,1371,532,8470,8510,8391,8949,9011,9146,9916,9684,11951,13180,12761,11348,9879,9226,7496,6277,4812,2776,1576
Stirling,S12000030,43886,47374,18157,56521,16582,2245,2501,2695,3305,3748,2497,2203,2328,2943,3445,3202,2796,2668,2480,1882,1394,952,429,173,2144,2317,2588,3354,3865,2679,2405,2568,3456,3692,3413,2940,2681,2731,2165,1812,1302,801,461
West Dunbartonshire,S12000039,42692,47118,17896,56398,15516,2712,2538,2290,2790,2873,2812,2497,2281,2900,3475,3389,3037,2586,2379,1612,1216,789,362,154,2501,2395,2331,2558,2947,2884,2931,2633,3277,3865,3664,3339,2789,2565,2104,1708,1402,781,444
West Lothian,S12000040,86219,89921,39562,110351,26227,5720,5772,5273,5658,5188,5257,5458,5587,6742,7174,6577,5254,4736,4373,3148,2252,1249,590,211,5354,5518,5190,5390,4987,5412,5850,5779,7300,7489,6690,5500,5058,4720,3620,2671,1826,1018,549
NORTHERN IRELAND,N92000002,897145,932580,432015,1118576,279134,64699,60768,58101,63149,61887,61398,59625,56383,62491,65542,60952,52832,46350,42029,31853,23449,15062,7545,3030,61974,57477,55136,59867,60309,63087,63126,59374,65386,67880,62434,53070,47294,45286,36132,29227,22812,14402,8307
Antrim,95T,26591,27387,13504,32780,7694,2009,1956,1848,1819,1662,1699,1785,1780,1933,2032,1766,1503,1369,1230,882,685,380,166,87,1927,1791,1780,1750,1595,1718,1905,1839,2139,2056,1739,1481,1403,1355,1082,740,542,326,219
Ards,95X,38250,40299,17062,46977,14510,2298,2533,2388,2505,2155,2197,2149,2208,2643,2894,2746,2556,2420,2467,1730,1161,683,367,150,2224,2356,2274,2265,2176,2222,2356,2420,2875,3133,2922,2623,2501,2548,1859,1365,1065,685,430
Armagh,95O,30058,30365,15251,36188,8984,2240,2155,2032,2122,2012,2065,1898,1912,2114,2140,2012,1778,1489,1415,1087,774,481,237,95,2334,2006,1915,1976,1821,2053,1976,1929,2127,2113,2001,1638,1581,1475,1161,920,674,433,232
Ballymena,95G,31795,32967,14553,38992,11217,2110,2080,2002,1982,2047,2054,2028,1912,2372,2405,2097,1981,1816,1616,1273,959,615,337,109,1964,2024,1916,1994,1795,2017,2111,2051,2451,2426,2097,1939,1874,1778,1450,1202,931,606,341
Ballymoney,95D,15630,16029,7521,19247,4891,1038,1056,1055,1034,939,1049,1054,1036,1189,1205,1100,894,793,717,609,402,262,134,64,1038,1022,1016,1018,925,1096,1054,1017,1243,1184,1064,885,764,751,674,493,413,232,140
Banbridge,95Q,24229,24676,12091,29665,7149,1766,1713,1664,1662,1459,1504,1571,1597,1861,1930,1688,1500,1159,1078,812,586,395,197,87,1734,1715,1509,1489,1270,1601,1729,1616,1949,1846,1704,1350,1170,1139,955,760,581,351,208
Belfast,95Z,136091,145644,60723,179746,41266,9962,8230,7606,9856,12532,11380,10601,8608,8706,9163,8653,7551,6225,5397,4230,3382,2286,1213,510,9494,7771,7381,9414,13156,11971,10990,9140,8926,9579,9435,7831,6308,6160,5269,4815,4013,2520,1471
Carrickfergus,95V,18846,20169,8475,23836,6704,1115,1204,1197,1337,1190,1114,987,1063,1379,1571,1465,1210,1030,1007,803,587,361,166,60,1111,1164,1126,1260,1162,1159,1206,1230,1513,1651,1522,1268,1077,1103,870,689,537,318,203
Castlereagh,95Y,32632,35251,14627,41193,12063,2155,2030,2032,2189,2038,1896,2043,2130,2310,2584,2547,2002,1638,1438,1323,975,778,393,131,2035,1888,1864,2123,1886,2044,2273,2186,2459,2937,2743,2146,1642,1815,1548,1362,1220,738,342
Coleraine,95C,28845,30198,12850,35619,10574,1779,1780,1847,2137,2095,1625,1576,1515,1975,2220,2125,1852,1623,1579,1236,910,575,286,110,1650,1677,1693,2085,2164,1565,1702,1712,2063,2388,2083,1825,1713,1621,1451,1150,860,496,300
Cookstown,95I,18682,18870,9464,22948,5140,1453,1336,1258,1323,1287,1395,1397,1305,1287,1255,1209,990,853,806,624,408,301,139,56,1394,1280,1177,1174,1331,1367,1414,1273,1300,1290,1156,993,915,851,669,478,390,263,155
Craigavon,95N,47079,48395,23705,58312,13457,3908,3403,3026,3114,3176,3366,3480,3137,3368,3427,3062,2508,2291,1990,1536,1116,693,346,132,3569,3297,2788,2987,2988,3550,3585,3212,3351,3522,3042,2603,2257,2310,1784,1489,1053,628,380
Derry,95A,53118,55492,27608,67287,13715,4064,3725,3789,4182,3731,3891,3430,3209,3742,3916,3565,2918,2670,2304,1649,1211,700,316,106,3965,3545,3552,3971,3889,3952,3787,3562,3937,4255,3809,3114,2725,2374,1806,1397,984,558,310
Down,95R,35008,35817,16975,42667,11183,2463,2356,2319,2535,2402,2318,2115,2068,2318,2552,2426,2092,1948,1737,1298,973,626,314,148,2410,2232,2198,2415,2164,2314,2234,2117,2459,2686,2394,2167,1940,1805,1392,1105,860,584,341
Dungannon,95M,29679,29619,15572,36094,7632,2358,2249,2054,2016,1966,2300,2231,2040,2141,2069,1913,1549,1360,1202,922,678,374,180,77,2383,2117,1978,1902,1924,2223,2230,2059,2030,1910,1806,1514,1344,1228,959,766,642,395,209
Fermanagh,95L,31293,31234,15128,37451,9948,2298,2141,2102,2178,1799,2009,2005,1932,2184,2229,2124,1984,1767,1595,1128,839,575,273,131,2043,1934,2002,2026,1645,2011,1968,2010,2180,2206,2112,1904,1786,1614,1182,1001,764,542,304
Larne,95F,15661,16559,6871,19476,5873,895,956,940,1061,942,909,870,828,1091,1239,1326,1070,921,924,706,464,318,146,55,892,936,986,980,948,983,945,915,1174,1298,1223,1022,997,947,773,623,457,269,191
Limavady,95B,17071,16815,8165,21114,4607,1144,1168,1128,1208,1154,1212,1084,1159,1318,1331,1150,949,931,792,568,377,252,105,41,1136,1053,1076,1157,1037,1132,1104,1205,1324,1260,1073,914,872,779,607,434,308,218,126
Lisburn,95S,59354,62636,29959,74099,17932,4560,4254,3965,4265,3797,3829,3999,3744,3999,4422,4066,3543,2996,2743,2114,1498,925,444,191,4268,4029,3801,4017,3732,4074,4268,4067,4545,4705,4382,3569,3162,2945,2414,1869,1414,864,511
Magherafelt,95H,22956,22870,11973,27769,6084,1771,1698,1591,1672,1600,1631,1617,1554,1675,1616,1410,1258,1096,981,674,516,354,171,71,1740,1604,1540,1609,1491,1600,1555,1529,1663,1551,1405,1217,1049,984,806,597,461,289,180
Moyle,95E,8570,8541,3882,10200,3029,545,558,548,565,521,542,435,499,599,628,631,511,592,478,361,282,163,74,38,504,514,508,564,493,503,470,492,608,632,552,563,505,502,415,293,196,151,76
Newry and Mourne,95P,50523,51089,26976,61591,13045,4124,3786,3638,3703,3448,3538,3445,3310,3526,3717,3235,2854,2357,2040,1494,1165,685,334,124,3858,3600,3434,3529,3129,3748,3608,3281,3602,3581,3290,2791,2435,2160,1641,1376,1032,632,362
Newtownabbey,95U,41155,44403,19531,52287,13740,2926,2884,2584,2918,2845,2502,2573,2647,2901,2947,2802,2499,2167,1967,1558,1150,751,389,145,2785,2707,2457,2749,2836,2776,3038,3006,3186,3242,3011,2517,2313,2198,1765,1509,1141,785,382
North Down,95W,38198,41226,16595,47376,15453,2456,2390,2237,2390,2138,2287,2367,2237,2631,2705,2718,2489,2427,2424,1703,1207,797,425,170,2374,2237,2128,2167,2015,2405,2550,2523,2899,3065,2926,2600,2610,2709,1895,1456,1238,898,531
Omagh,95K,25901,25937,13033,31566,7239,1854,1846,1832,1881,1666,1756,1680,1684,1791,1799,1761,1647,1395,1156,829,612,402,219,91,1739,1746,1757,1776,1529,1727,1792,1645,1833,1863,1730,1527,1343,1130,931,733,574,352,210
Strabane,95J,19930,20092,9921,24096,6005,1408,1281,1419,1495,1286,1330,1205,1269,1438,1546,1355,1144,1017,946,704,532,330,174,51,1403,1232,1280,1470,1208,1276,1276,1338,1550,1501,1213,1069,1008,1005,774,605,462,269,153
